countyfips,num_drug_death_t,year_t,num_drug_death_t_1,num_drug_death_t_2,num_drug_death_t_3,log_num_drug_death_t_1,log_num_drug_death_t_2,log_num_drug_death_t_3,num_drug_crime_t_1,num_drug_crime_state_t_1,is_sup_all_drug_death_t_1,crime_grav_drug_t_1,fent_rt_t_1,num_drug_crime_t_2,num_drug_crime_state_t_2,is_sup_all_drug_death_t_2,crime_grav_drug_t_2,fent_rt_t_2,num_drug_crime_t_3,num_drug_crime_state_t_3,is_sup_all_drug_death_t_3,crime_grav_drug_t_3,fent_rt_t_3,num_primary_care_physicians,poor_fair_health,poor_physical_health_days,adult_smoking,adult_obesity,unemployment,uninsured_adults,high_school_graduation,gini,hmi,Population,is_ruca_1,is_ruca_2,is_ruca_3,is_ruca_4,is_ruca_5,is_ruca_7,is_ruca_8,is_ruca_9,lat,long,is_CT,is_DE,is_KY,is_MA,is_ME,is_NH,is_OH,is_RI,is_TN,is.stateborder,num_drug_death_t_3_x_num_drug_crime_t_3,num_drug_death_t_2_x_num_drug_crime_t_2,num_drug_death_t_1_x_num_drug_crime_t_1,num_drug_death_t_3_x_fent_rt_t_3,num_drug_death_t_2_x_fent_rt_t_2,num_drug_death_t_1_x_fent_rt_t_1,log_num_drug_death_t_3_x_num_drug_crime_t_3,log_num_drug_death_t_2_x_num_drug_crime_t_2,log_num_drug_death_t_1_x_num_drug_crime_t_1,log_num_drug_death_t_3_x_fent_rt_t_3,log_num_drug_death_t_2_x_fent_rt_t_2,log_num_drug_death_t_1_x_fent_rt_t_1
21019,0,2013,10,12,22,2.397895273,2.564949357,3.135494216,0.255835603,0.362309017,0,0.709772395,0.000559555,0.30203772,0.351005752,0,0.719942058,0.001108013,0.374444023,0.341241344,0,0.727871194,0.000571948,0.141509434,0.757481539,0.735420503,0.756845116,0.753144654,0.537793355,0.650009584,0.854415555,0.838333386,0.330217378,0.1017095,0,1,0,0,0,0,0,0,38.360004,-82.681406,0,0,1,0,0,0,0,0,0,1,8.237768507,3.624452643,2.558356032,0.012582848,0.013296161,0.005595553,1.174067068,0.774711456,0.613466984,0.001793339,0.002841998,0.001341755
21021,0,2013,0,0,0,0,0,0,0.056545875,0.362309017,1,0.899123235,0.000559555,0.072406303,0.351005752,1,0.88602323,0.001108013,0.059993794,0.341241344,1,0.869306991,0.000571948,0.075471698,0.348361187,0.505831799,0.627571176,0.564465409,0.767955648,0.711600825,0.80994709,0.825558383,0.355897095,0.056872079,0,0,0,0,0,1,0,0,37.6182,-84.873016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21023,0,2013,0,0,0,0,0,0,0.028272937,0.362309017,1,0.913593126,0.000559555,0.01792918,0.351005752,1,0.912623065,0.001108013,0.004137503,0.341241344,1,0.914181074,0.000571948,0.006289308,0.814613292,0.691835482,1,0.68081761,0.745885291,0.806241024,0.819607016,0.565032095,0.383440921,0.013746213,1,0,0,0,0,0,0,0,38.678523,-84.100355,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21025,0,2013,0,0,12,0,0,2.564949357,0.000689584,0.362309017,1,0.808286853,0.000559555,0.004827087,0.351005752,1,0.811164772,0.001108013,0.005516671,0.341241344,0,0.80717906,0.000571948,0.024371069,1,0.898096992,0.928892521,0.918238994,0.730120751,0.57339609,0.68031011,0.991067969,0.097126539,0.025118334,0,0,0,0,0,1,0,0,37.521178,-83.322401,0,0,1,0,0,0,0,0,0,0,0.066200048,0,0,0.006863372,0,0,0.014149981,0,0,0.001467017,0,0
21027,0,2013,0,0,0,0,0,0,0.00896459,0.362309017,1,0.850193973,0.000559555,0.006206255,0.351005752,1,0.843685013,0.001108013,0.005516671,0.341241344,1,0.806643142,0.000571948,0.016509434,0.81409509,0.610804174,1,0.606918239,0.771108556,0.931417106,0.832817459,0.426810752,0.311055616,0.038764163,0,0,0,0,0,0,1,0,37.778109,-86.432829,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21029,11,2013,22,13,11,3.135494216,2.63905733,2.48490665,0.146881357,0.362309017,0,0.886038703,0.000559555,0.10067924,0.351005752,0,0.874950496,0.001108013,0.038616695,0.341241344,0,0.845895518,0.000571948,0.031446541,0.570669776,0.714548803,0.791581528,0.690251572,0.704897486,0.722116403,0.797413451,0.215499639,0.6056685,0.157029923,1,0,0,0,0,0,0,0,37.969572,-85.703036,0,0,1,0,0,0,0,0,0,1,0.424783643,1.308830121,3.231389856,0.006291424,0.014404175,0.012310217,0.095958882,0.265698286,0.460545646,0.001421237,0.002924111,0.001754483
21031,0,2013,0,0,0,0,0,0,0.012412509,0.362309017,1,0.869686549,0.000559555,0.018618764,0.351005752,1,0.872236575,0.001108013,0.011033341,0.341241344,1,0.854390483,0.000571948,0.007861635,0.610700868,0.791282996,0.77169323,0.693396226,0.842150857,0.875343391,0.776193453,0.589953822,0.254888065,0.022968674,0,0,1,0,0,0,0,0,37.207013,-86.682471,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21033,0,2013,0,0,0,0,0,0,0.046891701,0.362309017,1,0.861560325,0.000559555,0.045512533,0.351005752,1,0.861176023,0.001108013,0.039306279,0.341241344,1,0.839587591,0.000571948,0.017295597,0.533229693,0.502762431,0.956136766,0.767295597,0.626074782,0.716107501,0.849195697,0.716866145,0.282335472,0.023352286,0,0,0,0,0,1,0,0,37.148643,-87.87051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21035,0,2013,0,0,0,0,0,0,0.094472986,0.362309017,1,0.811616696,0.000559555,0.071716719,0.351005752,1,0.817868175,0.001108013,0.093093818,0.341241344,1,0.796161991,0.000571948,0.060534591,0.570281124,0.436464088,0.831766789,0.503144654,0.528334631,0.962963839,0.89595527,0.702415732,0.324740752,0.076052675,0,0,0,0,0,1,0,0,36.620978,-88.274086,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21037,29,2013,57,34,28,4.060443011,3.555348061,3.36729583,0.583387925,0.362309017,0,1,0.000559555,0.695790091,0.351005752,0,1,0.001108013,0.568217081,0.341241344,0,1,0.000571948,0.156446541,0.48451872,0.508901166,0.595831631,0.501572327,0.648145139,0.574898315,0.780258454,0.579691934,0.577706856,0.190630024,1,0,0,0,0,0,0,0,38.946981,-84.379583,0,0,1,0,0,0,0,0,0,1,15.91007827,23.65686308,33.25311175,0.016014534,0.037672457,0.031894654,1.913355007,2.47377595,2.368813424,0.001925917,0.003939373,0.002272043
